"#file:///F:/HYBRID Dance DATA for processing/Video/SEGMENTED/CoLocatedSegmented/CoLocated_Rehearsal_Panasonic_Cut_25fps.mp4 -- offset: 0, duration: 00:56:22.360 / 3382.360 / 3382360, ms per sample: 40.0"
"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - PAL","Laughter","Segmentation"
00:47:13.095,2833.095,00:47:13:02,00:47:20.605,2840.605,00:47:20:15,00:00:07.510,7.51,00:00:07:12,"Lisa solo, laugh, NEGOTIATION, Verbal [a57]","Searching for material [a535]"
00:47:20.605,2840.605,00:47:20:15,00:47:41.700,2861.7,00:47:41:17,00:00:21.095,21.095,00:00:21:02,,"Searching for material [a535]"
00:47:42.000,2862.0,00:47:42:00,00:48:13.000,2893.0,00:48:13:00,00:00:31.000,31.0,00:00:31:00,,"Cleaning the material [a536]"
00:48:13.040,2893.04,00:48:13:01,00:48:13.300,2893.3,00:48:13:07,00:00:00.260,0.26,00:00:00:06,"Lisa solo, ole's suggestion, NEGOTIATION, Verbal [a58]",
00:48:13.300,2893.3,00:48:13:07,00:48:17.991,2897.991,00:48:17:24,00:00:04.691,4.691,00:00:04:17,"Lisa solo, ole's suggestion, NEGOTIATION, Verbal [a58]","Searching for material [a537]"
00:48:17.991,2897.991,00:48:17:24,00:48:45.100,2925.1,00:48:45:02,00:00:27.109,27.109,00:00:27:02,,"Searching for material [a537]"
00:49:01.000,2941.0,00:49:01:00,00:50:56.650,3056.65,00:50:56:16,00:01:55.650,115.65,00:01:55:16,,"Repeating from top [a538]"
00:50:56.650,3056.65,00:50:56:16,00:51:01.980,3061.98,00:51:01:24,00:00:05.330,5.33,00:00:05:08,"Lisa solo, ENJOYMENT [a59]","Repeating from top [a538]"
00:51:01.980,3061.98,00:51:01:24,00:52:42.515,3162.515,00:52:42:12,00:01:40.535,100.535,00:01:40:13,,"Repeating from top [a538]"
00:52:42.515,3162.515,00:52:42:12,00:52:47.100,3167.1,00:52:47:02,00:00:04.585,4.585,00:00:04:14,"Together,simultaneous, House start, ENJOYMENT [a60]","Repeating from top [a538]"
00:52:47.100,3167.1,00:52:47:02,00:52:54.050,3174.05,00:52:54:01,00:00:06.950,6.95,00:00:06:23,,"Repeating from top [a538]"
00:52:54.050,3174.05,00:52:54:01,00:52:59.886,3179.886,00:52:59:22,00:00:05.836,5.836,00:00:05:20,"Together,contagious from Ole to Lisa chuckle like,DIFFICULTY LEVEL hardship,Clap [a61]","Repeating from top [a538]"
00:52:59.886,3179.886,00:52:59:22,00:56:06.000,3366.0,00:56:06:00,00:03:06.114,186.114,00:03:06:02,,"Repeating from top [a538]"
