TIME,VALUE,DURATION,LABEL,Who,Order,Mistake,Negociation,Communicating difficulty,Novelty and Surprise,Joyful,Joke,In Chatter,External,Laughter type,Disruptiveness,Self-involvement,Duration,Description
682.0136054,1,1.422222222,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
693.6090703,1,1.306122449,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
695.3941043,1,1.378684807,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
701.0394558,1,1.117460317,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
706.9170068,1,1.320634921,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
711.3433107,1,3.77324263,Scattered laughter and chatter,few,scattered,,,,,,,1,,titter,no,yes,1,
717.322449,1,3.076643991,Scattered laughter and chatter,few,scattered,,,,,,,1,,titter,no,yes,1,
720.9650794,1,1.552834467,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
723.969161,1,1.66893424,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
726.5814059,1,5.050340136,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
738.4380952,1,1.973696145,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
740.4263039,1,1.117460317,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
746.2312925,1,1.044897959,Scattered laughter and chatter,few,scattered,,,,,,,1,,scattered laughter,no,unknown,,
768.4063492,1,3.512018141,Laughter react success,subset,"After ""Very nice""",,,,,1,,,,titter,no,yes,1,
