,Lisa,Ole
0.0,39.60000000000082,127.49999999999994
0.1,24.500000000000853,131.79999999999995
0.2,12.0,122.86666666666676
0.30000000000000004,32.7999999999996,133.0
0.4,31.00000000000222,119.40000000000002
0.5,16.0,127.59999999999987
0.6000000000000001,34.09999999999978,118.7999999999996
0.7000000000000001,39.39999999999778,114.86666666666683
0.8,26.399999999998723,113.0
0.9,25.87500000000125,107.40000000000002
1.0,66.0,109.0
1.1,27.6,103.95000000000023
1.2000000000000002,23.84999999999878,109.0
1.3,42.5,86.80000000000044
1.4000000000000001,23.0,95.69999999999962
1.5,31.2000000000004,82.09999999999887
1.6,42.6999999999994,74.69999999999978
1.7000000000000002,37.300000000000225,101.03333333333444
1.8,20.0,117.30000000000038
1.9000000000000001,17.399999999998833,66.60000000000076
2.0,19.02500000000061,-37.50000000000189
2.1,20.175000000000388,-51.0
2.2,8.000000000000888,-109.0
2.3000000000000003,19.800000000001333,-152.0
2.4000000000000004,14.900000000000666,-121.6000000000012
2.5,12.0,-152.0
2.6,12.39999999999991,-171.3000000000002
2.7,13.700000000000289,-137.0
2.8000000000000003,15.700000000000289,-112.39999999999746
2.9000000000000004,17.750000000001663,-101.14999999999922
3.0,8.0,-106.2
3.1,21.625000000001833,-129.0
3.2,13.400000000000444,-130.60000000000096
3.3000000000000003,4.0,-129.0
3.4000000000000004,16.6000000000012,-157.79999999999956
3.5,7.707317073170563,-204.6
3.6,4.799999999999556,-207.79999999999956
3.7,1.7999999999995557,-232.40000000000379
3.8000000000000003,12.400000000002665,-246.0
3.9000000000000004,4.0,-235.79999999999956
4.0,4.0,-239.6
4.1000000000000005,-6.199999999998668,-248.40000000000177
4.2,-19.800000000004218,-240.93333333333348
4.3,-22.1,-246.0
4.4,-12.599999999998401,-246.0
4.5,-16.299999999999333,-244.89999999999938
4.6000000000000005,-13.399999999999556,-253.1000000000011
4.7,-56.04999999999922,-252.5666666666668
4.800000000000001,-87.50000000001089,-250.0
4.9,-227.40000000000043,-260.79999999999865
5.0,-206.39999999999984,-258.10000000000065
5.1000000000000005,-223.62500000000415,-263.2000000000022
5.2,-260.1749999999994,-271.53333333333325
5.300000000000001,-218.8500000000008,-257.0
5.4,-206.19999999999644,-270.89999999999935
5.5,-210.37499999999918,-273.0
5.6000000000000005,-210.99999999999824,-277.0
5.7,-198.99999999999912,-273.0
5.800000000000001,-192.9000000000011,-281.0
5.9,-199.0,-274.9999999999991
6.0,-207.40000000000268,-277.99999999999955
6.1000000000000005,-195.0,-290.000000000004
6.2,-202.6999999999999,-287.6666666666663
6.300000000000001,-198.20000000000212,-264.99999999999824
6.4,-199.0,-278.9999999999991
6.5,-184.50000000000023,-280.00000000000045
6.6000000000000005,-210.00000000000222,-277.9999999999987
6.7,-199.59999999999957,-292.66666666666777
6.800000000000001,-231.60000000000178,-296.00000000000176
6.9,-179.60000000000196,-296.3250000000019
7.0,-195.0,-293.0
7.1000000000000005,-203.4,-287.90000000000026
7.2,-199.8999999999989,-279.7999999999993
7.300000000000001,-180.1000000000011,-292.90000000000026
7.4,-215.0,-294.5749999999992
7.5,-201.0,-294.5749999999996
7.6000000000000005,-207.90000000000066,-293.8249999999998
7.7,-194.6,-300.0
7.800000000000001,-216.40000000000248,-296.1999999999995
7.9,-210.40000000000134,-296.6749999999981
8.0,-203.0,-294.5749999999996
8.1,-208.20000000000036,-290.79999999999876
8.200000000000001,-208.249999999995,-302.4000000000038
8.3,-209.99999999999866,-307.6000000000009
8.4,-217.550000000001,-297.8000000000005
8.5,-211.0,-293.6
8.6,-246.29999999999933,-301.20000000000033
8.700000000000001,-207.0,-297.0666666666689
8.8,-215.35000000000232,-300.0
8.9,-210.20000000000036,-366.60000000000105
9.0,-217.17499999999953,-347.8
9.1,-222.0,-215.4999999999969
9.200000000000001,-221.99999999999824,-255.33333333335267
9.3,-199.39999999999893,-301.1999999999973
9.4,-213.90000000000066,-318.5999999999984
9.5,-213.4,-244.4
9.600000000000001,-215.19999999999774,-256.10000000000105
9.700000000000001,-216.27500000000117,-254.7000000000019
