,Lisa,Ole
0.0,-213.32500000000113,-323.0000000000001
0.1,-198.60000000000068,-320.6
0.2,-205.69999999999922,-312.0
0.30000000000000004,-218.97499999999945,-333.8999999999994
0.4,-203.00000000000168,-320.0
0.5,-197.0,-318.80000000000024
0.6000000000000001,-207.90000000000023,-321.1999999999997
0.7000000000000001,-222.0,-325.86666666666684
0.8,-230.8000000000002,-324.80000000000047
0.9,-187.899999999999,-327.19999999999993
1.0,-236.2999999999997,-339.2000000000004
1.1,-229.4,-335.0
1.2000000000000002,-228.7999999999991,-329.8666666666658
1.3,-234.0,-328.7000000000004
1.4000000000000001,-245.00000000000023,-347.60000000000076
1.5,-248.80000000000027,-351.0
1.6,-233.6999999999994,-326.6000000000004
1.7000000000000002,-229.39999999999955,-328.0
1.8,-215.15000000000046,-359.30000000000035
1.9000000000000001,-238.0,-382.0
2.0,-229.30000000000067,-263.69999999999965
2.1,-233.89999999999978,-114.39999999999955
2.2,-214.50000000000168,-60.69999999999953
2.3000000000000003,-222.19999999999868,-51.82500000000165
2.4000000000000004,-231.80000000000132,-77.3999999999988
2.5,-234.0,-85.90000000000113
2.6,-226.7999999999998,-131.62499999999918
2.7,-215.0,-148.0
2.8000000000000003,-222.59999999999943,-137.15000000000063
2.9000000000000004,-234.0,-150.60000000000133
3.0,-244.49999999999832,-157.2
3.1,-241.00000000000134,-171.20000000000044
3.2,-219.40000000000043,-167.2000000000019
3.3000000000000003,-226.0,-140.20000000000084
3.4000000000000004,-222.6000000000012,-136.8500000000008
3.5,-241.70731707317057,-130.2
3.6,-239.60000000000133,-117.79999999999956
3.7,-235.10000000000022,-109.0
3.8000000000000003,-243.300000000002,-85.59999999999832
3.9000000000000004,-241.99999999999912,-93.59999999999911
4.0,-257.0,-98.0
4.1000000000000005,-274.09999999999934,-85.20000000000088
4.2,-292.19999999999914,-66.0
4.3,-295.1,-66.20000000000124
4.4,-291.9750000000014,-62.0
4.5,-293.0,-72.77499999999705
4.6000000000000005,-269.0,-65.10000000000112
4.7,-248.8000000000009,-65.96666666666646
4.800000000000001,-341.9999999999969,-70.20000000000302
4.9,-424.0000000000022,-69.79999999999866
5.0,-526.3999999999999,-75.10000000000062
5.1000000000000005,-545.3999999999978,-75.30000000000334
5.2,-503.0,-60.89999999999994
5.300000000000001,-501.20000000000044,-70.10000000000151
5.4,-490.10000000000156,-66.0
5.5,-490.32500000000016,-68.89999999999938
5.6000000000000005,-487.5000000000051,-84.00000000000267
5.7,-488.0,-76.66666666666745
5.800000000000001,-493.22500000000304,-59.0
5.9,-500.39999999999867,-66.0
6.0,-516.1999999999991,-68.99999999999866
6.1000000000000005,-507.0,-61.749999999996334
6.2,-518.3999999999999,-72.6666666666651
6.300000000000001,-515.7999999999979,-81.99999999999467
6.4,-521.7999999999992,-89.99999999999822
6.5,-507.5000000000007,-73.00000000000044
6.6000000000000005,-531.5000000000011,-81.00000000000134
6.7,-499.0,-82.00000000000118
6.800000000000001,-539.6000000000017,-93.99999999999112
6.9,-553.0999999999971,-82.0
7.0,-525.4500000000021,-79.79999999999956
7.1000000000000005,-530.0,-82.0
7.2,-522.1000000000012,-82.80000000000284
7.300000000000001,-502.3000000000033,-81.90000000000026
7.4,-538.0,-78.19999999999779
7.5,-534.0,-86.89999999999978
7.6000000000000005,-523.9000000000007,-86.7000000000008
7.7,-516.2,-80.79999999999929
7.800000000000001,-529.2000000000039,-81.60000000000107
7.9,-530.2999999999994,-74.19999999999779
8.0,-528.7250000000001,-85.10000000000022
8.1,-545.3999999999999,-78.0
8.200000000000001,-539.3999999999986,-79.59999999999621
8.3,-542.0,-77.80000000000044
8.4,-551.6000000000054,-76.5999999999984
8.5,-541.7999999999987,-69.2
8.6,-550.0,-79.59999999999928
8.700000000000001,-564.300000000001,-66.0
8.8,-562.5500000000037,-81.60000000000089
8.9,-543.5999999999993,-89.60000000000106
9.0,-536.2000000000013,-74.8
9.1,-538.0,-104.60000000000106
9.200000000000001,-551.9999999999937,-178.93333333333942
9.3,-545.8000000000005,-105.39999999999911
9.4,-548.9000000000007,-57.19999999999947
9.5,-554.8,-68.4
9.600000000000001,-543.0666666666547,-83.19999999999858
9.700000000000001,-552.2999999999985,-78.93333333333587
9.8,-561.6000000000009,-86.0
9.9,-556.7999999999996,-94.624999999997
10.0,-561.4999999999993,-94.70000000000022
10.100000000000001,-563.1666666666639,-83.29999999999889
10.200000000000001,-552.8000000000033,-101.0
10.3,-553.4000000000013,-86.29999999999933
10.4,-557.3999999999995,-101.0
10.5,-546.3999999999991,-87.89999999999934
10.600000000000001,-568.9333333333263,-76.70000000000111
10.700000000000001,-568.1749999999992,-75.86666666667172
10.8,-559.7999999999987,-78.29999999999933
10.9,-560.0000000000026,-72.2999999999992
11.0,-566.0,-92.19999999999867
